Pair,Position,Diff
East 3 vs West 3,75,28
East 3 vs West 3,76,42
East 3 vs West 3,77,18
East 3 vs West 3,78,64
East 3 vs West 3,79,35
East 3 vs West 3,80,61
East 3 vs West 3,81,35
East 3 vs West 3,82,25
East 3 vs West 3,83,34
East 3 vs West 3,84,3
East 3 vs West 3,85,28
East 3 vs West 3,86,5
East 3 vs West 3,87,56
East 3 vs West 3,88,16
East 3 vs West 3,89,9
East 3 vs West 3,90,51
East 3 vs West 3,91,17
East 3 vs West 3,92,16
East 3 vs West 3,93,24
East 3 vs West 3,94,22
East 3 vs West 3,95,53
East 3 vs West 3,96,12
East 3 vs West 3,97,30
East 3 vs West 3,98,33
East 3 vs West 3,99,79
East 3 vs West 3,100,45
East 3 vs West 3,101,17
East 3 vs West 3,102,4
East 3 vs West 3,103,25
East 3 vs West 3,104,3
East 3 vs West 3,105,31
East 3 vs West 3,106,44
East 3 vs West 3,107,44
East 3 vs West 3,108,34
East 3 vs West 3,109,25
East 3 vs West 3,110,77
East 3 vs West 3,111,3
East 3 vs West 3,112,48
East 3 vs West 3,113,13
East 3 vs West 3,114,16
East 3 vs West 3,115,2
East 3 vs West 3,116,30
East 3 vs West 3,117,32
East 3 vs West 3,118,17
East 3 vs West 3,119,18
East 3 vs West 3,120,23
East 3 vs West 3,121,10
East 3 vs West 3,122,34
East 3 vs West 3,123,4
East 3 vs West 3,124,52
East 4 vs West 4,1,50
East 4 vs West 4,2,0
East 4 vs West 4,3,0
East 4 vs West 4,4,0
East 4 vs West 4,5,0
East 4 vs West 4,6,0
East 4 vs West 4,7,0
East 4 vs West 4,8,0
East 4 vs West 4,9,0
East 4 vs West 4,10,0
East 4 vs West 4,11,0
East 4 vs West 4,12,0
East 4 vs West 4,13,0
East 4 vs West 4,14,0
East 4 vs West 4,15,0
East 4 vs West 4,16,0
East 4 vs West 4,17,0
East 4 vs West 4,18,0
East 4 vs West 4,19,0
East 4 vs West 4,20,0
East 4 vs West 4,21,0
East 4 vs West 4,22,17
East 4 vs West 4,23,23
East 4 vs West 4,24,42
East 4 vs West 4,25,0
East 4 vs West 4,26,54
East 4 vs West 4,27,27
East 4 vs West 4,28,60
East 4 vs West 4,29,78
East 4 vs West 4,30,1
East 4 vs West 4,31,3
East 4 vs West 4,32,44
East 4 vs West 4,33,57
East 4 vs West 4,34,14
East 4 vs West 4,35,1
East 4 vs West 4,36,27
East 4 vs West 4,37,40
East 4 vs West 4,38,58
East 4 vs West 4,39,26
East 4 vs West 4,40,27
East 4 vs West 4,41,16
East 4 vs West 4,42,5
East 4 vs West 4,43,16
East 4 vs West 4,44,64
East 4 vs West 4,45,11
East 4 vs West 4,46,18
East 4 vs West 4,47,8
East 4 vs West 4,48,4
East 4 vs West 4,49,11
East 4 vs West 4,50,33
East 4 vs West 4,51,70
East 4 vs West 4,52,24
East 4 vs West 4,53,21
East 4 vs West 4,54,8
East 4 vs West 4,55,11
East 4 vs West 4,56,39
East 4 vs West 4,57,8
East 4 vs West 4,58,50
East 4 vs West 4,59,12
East 4 vs West 4,60,23
East 4 vs West 4,61,19
East 4 vs West 4,62,10
East 4 vs West 4,63,12
East 4 vs West 4,64,0
East 4 vs West 4,65,37
East 4 vs West 4,66,28
East 4 vs West 4,67,64
East 4 vs West 4,68,5
East 4 vs West 4,69,71
East 4 vs West 4,70,25
East 4 vs West 4,71,22
East 4 vs West 4,72,7
East 4 vs West 4,73,17
East 4 vs West 4,74,23
East 4 vs West 4,75,1
East 4 vs West 4,76,32
East 4 vs West 4,77,23
East 4 vs West 4,78,13
East 4 vs West 4,79,6
East 4 vs West 4,80,33
East 4 vs West 4,81,3
East 4 vs West 4,82,19
East 4 vs West 4,83,24
East 4 vs West 4,84,2
East 4 vs West 4,85,14
East 4 vs West 4,86,27
East 4 vs West 4,87,2
East 4 vs West 4,88,10
East 4 vs West 4,89,4
East 4 vs West 4,90,60
East 4 vs West 4,91,53
East 4 vs West 4,92,56
East 4 vs West 4,93,9
East 4 vs West 4,94,57
East 4 vs West 4,95,25
East 4 vs West 4,96,12
East 4 vs West 4,97,5
East 4 vs West 4,98,19
East 4 vs West 4,99,1
East 4 vs West 4,100,6
East 4 vs West 4,101,41
East 4 vs West 4,102,24
East 4 vs West 4,103,38
East 4 vs West 4,104,21
East 4 vs West 4,105,22
East 4 vs West 4,106,58
East 4 vs West 4,107,71
East 4 vs West 4,108,5
East 4 vs West 4,109,35
East 4 vs West 4,110,56
East 4 vs West 4,111,5
East 4 vs West 4,112,36
East 4 vs West 4,113,45
East 4 vs West 4,114,65
East 4 vs West 4,115,37
East 4 vs West 4,116,23
East 4 vs West 4,117,13
East 4 vs West 4,118,58
East 4 vs West 4,119,21
