SHEET,Original_Ciphertexts
East 4,7,2
East 4,8,60
East 4,9,29
East 4,10,40
East 4,11,2
East 4,12,55
East 4,13,9
East 4,14,15
East 4,15,59
East 4,16,18
East 4,17,68
East 4,18,3
East 4,19,36
East 4,20,5
East 4,21,47
East 4,22,77
East 4,23,44
East 4,24,38
East 4,25,1
East 4,26,18
East 4,27,28
East 4,28,76
East 4,29,4
East 4,30,34
East 4,31,60
East 4,32,63
East 4,33,58
East 4,34,80
East 4,35,17
East 4,36,54
East 4,37,79
East 4,38,75
East 4,39,48
East 4,40,54
East 4,41,55
East 4,42,19
East 4,43,62
East 4,44,64
East 4,45,14
East 4,46,47
East 4,47,51
East 4,48,70
East 4,49,75
East 4,50,5
East 4,51,11
East 4,52,47
East 4,53,45
East 4,54,58
East 4,55,68
East 4,56,69
East 4,57,79
East 4,58,25
East 4,59,38
East 4,60,45
East 4,61,73
East 4,62,47
East 4,63,68
East 4,64,50
East 4,65,34
East 4,66,45
East 4,67,78
East 4,68,26
East 4,69,79
East 4,70,57
East 4,71,4
East 4,72,56
East 4,73,22
East 4,74,60
East 4,75,18
East 4,76,75
East 4,77,43
East 4,78,60
East 4,79,59
East 4,80,67
East 4,81,63
East 4,82,42
East 4,83,49
East 4,84,33
East 4,85,40
East 4,86,65
East 4,87,79
East 4,88,77
East 4,89,7
East 4,90,3
East 4,91,26
East 4,92,62
East 4,93,31
East 4,94,78
East 4,95,26
East 4,96,57
East 4,97,69
East 4,98,40
East 4,99,4
East 4,100,23
East 4,101,26
East 4,102,13
East 4,103,67
East 4,104,42
East 4,105,38
East 4,106,72
East 4,107,11
East 4,108,39
East 4,109,65
East 4,110,60
East 4,111,25
East 4,112,6
East 4,113,80
East 4,114,66
East 4,115,68
East 4,116,77
East 4,117,59
East 4,118,78
East 4,119,19
West 4,1,77
West 4,2,66
West 4,3,5
West 4,4,49
West 4,5,75
West 4,6,54
West 4,7,2
West 4,8,60
West 4,9,29
West 4,10,40
West 4,11,2
West 4,12,55
West 4,13,9
West 4,14,15
West 4,15,59
West 4,16,18
West 4,17,68
West 4,18,3
West 4,19,36
West 4,20,5
West 4,21,47
West 4,22,60
West 4,23,21
West 4,24,80
West 4,25,1
West 4,26,72
West 4,27,55
West 4,28,16
West 4,29,82
West 4,30,35
West 4,31,57
West 4,32,19
West 4,33,1
West 4,34,66
West 4,35,18
West 4,36,27
West 4,37,39
West 4,38,17
West 4,39,74
West 4,40,81
West 4,41,39
West 4,42,14
West 4,43,78
West 4,44,0
West 4,45,25
West 4,46,65
West 4,47,43
West 4,48,66
West 4,49,64
West 4,50,38
West 4,51,81
West 4,52,23
West 4,53,24
West 4,54,50
West 4,55,57
West 4,56,30
West 4,57,71
West 4,58,75
West 4,59,26
West 4,60,68
West 4,61,54
West 4,62,57
West 4,63,56
West 4,64,50
West 4,65,71
West 4,66,73
West 4,67,14
West 4,68,21
West 4,69,8
West 4,70,32
West 4,71,26
West 4,72,63
West 4,73,5
West 4,74,37
West 4,75,19
West 4,76,43
West 4,77,66
West 4,78,47
West 4,79,53
West 4,80,34
West 4,81,66
West 4,82,23
West 4,83,73
West 4,84,31
West 4,85,54
West 4,86,38
West 4,87,77
West 4,88,67
West 4,89,11
West 4,90,63
West 4,91,79
West 4,92,6
West 4,93,22
West 4,94,21
West 4,95,51
West 4,96,69
West 4,97,74
West 4,98,21
West 4,99,5
West 4,100,17
West 4,101,67
West 4,102,37
West 4,103,29
West 4,104,21
West 4,105,60
West 4,106,14
West 4,107,82
West 4,108,44
West 4,109,30
West 4,110,4
West 4,111,20
West 4,112,42
West 4,113,35
West 4,114,1
West 4,115,31
West 4,116,54
West 4,117,46
West 4,118,20
West 4,119,40
West 4,120,30
East 5,1,33
East 5,2,66
East 5,3,5
East 5,4,49
East 5,5,75
East 5,6,54
East 5,7,2
East 5,8,60
East 5,9,29
East 5,10,40
East 5,11,2
East 5,12,55
East 5,13,9
East 5,14,15
East 5,15,59
East 5,16,18
East 5,17,68
East 5,18,3
East 5,19,36
East 5,20,5
East 5,21,47
East 5,22,33
East 5,23,21
East 5,24,59
East 5,25,44
East 5,26,18
East 5,27,28
East 5,28,76
East 5,29,59
East 5,30,34
East 5,31,60
East 5,32,63
East 5,33,79
East 5,34,27
East 5,35,12
East 5,36,54
East 5,37,5
East 5,38,49
East 5,39,48
East 5,40,54
East 5,41,55
East 5,42,52
East 5,43,62
East 5,44,72
East 5,45,69
East 5,46,10
East 5,47,57
East 5,48,22
East 5,49,58
East 5,50,48
East 5,51,67
East 5,52,53
East 5,53,7
East 5,54,34
East 5,55,32
East 5,56,30
East 5,57,31
East 5,58,19
East 5,59,26
East 5,60,8
East 5,61,34
East 5,62,46
East 5,63,7
East 5,64,30
East 5,65,71
East 5,66,55
East 5,67,34
East 5,68,75
East 5,69,54
East 5,70,9
East 5,71,6
East 5,72,60
East 5,73,5
East 5,74,23
East 5,75,25
East 5,76,45
East 5,77,42
East 5,78,80
East 5,79,25
East 5,80,12
East 5,81,22
East 5,82,76
East 5,83,20
East 5,84,51
East 5,85,62
East 5,86,21
East 5,87,40
East 5,88,9
East 5,89,41
East 5,90,10
East 5,91,44
East 5,92,73
East 5,93,8
East 5,94,33
East 5,95,70
East 5,96,73
East 5,97,6
East 5,98,31
East 5,99,21
East 5,100,72
East 5,101,5
East 5,102,40
East 5,103,61
East 5,104,51
East 5,105,42
East 5,106,66
East 5,107,64
East 5,108,74
East 5,109,61
East 5,110,25
East 5,111,63
East 5,112,42
East 5,113,24
East 5,114,41

SHEET,Column_Differences
Pair,Position,Diff
East 1 vs West 1,1,30
East 1 vs West 1,2,0
East 1 vs West 1,3,0
East 1 vs West 1,4,0
East 1 vs West 1,5,0
East 1 vs West 1,6,0
East 1 vs West 1,7,0
East 1 vs West 1,8,0
East 1 vs West 1,9,0
East 1 vs West 1,10,0
East 1 vs West 1,11,0
East 1 vs West 1,12,0
East 1 vs West 1,13,0
East 1 vs West 1,14,0
East 1 vs West 1,15,0
East 1 vs West 1,16,0
East 1 vs West 1,17,0
East 1 vs West 1,18,0
East 1 vs West 1,19,0
East 1 vs West 1,20,0
East 1 vs West 1,21,0
East 1 vs West 1,22,0
East 1 vs West 1,23,0
East 1 vs West 1,24,0
East 1 vs West 1,25,0
East 1 vs West 1,26,51
East 1 vs West 1,27,71
East 1 vs West 1,28,10
East 1 vs West 1,29,11
East 1 vs West 1,30,0
East 1 vs West 1,31,0
East 1 vs West 1,32,0
East 1 vs West 1,33,0
East 1 vs West 1,34,15
East 1 vs West 1,35,25
East 1 vs West 1,36,11
East 1 vs West 1,37,6
East 1 vs West 1,38,0
East 1 vs West 1,39,0
East 1 vs West 1,40,0
East 1 vs West 1,41,0
East 1 vs West 1,42,0
East 1 vs West 1,43,0
East 1 vs West 1,44,0
East 1 vs West 1,45,0
East 1 vs West 1,46,0
East 1 vs West 1,47,0
East 1 vs West 1,48,0
East 1 vs West 1,49,0
East 1 vs West 1,50,0
East 1 vs West 1,51,28
East 1 vs West 1,52,5
East 1 vs West 1,53,54
East 1 vs West 1,54,53
East 1 vs West 1,55,61
East 1 vs West 1,56,0
East 1 vs West 1,57,20
East 1 vs West 1,58,39
East 1 vs West 1,59,39
East 1 vs West 1,60,15
East 1 vs West 1,61,40
East 1 vs West 1,62,30
East 1 vs West 1,63,52
East 1 vs West 1,64,3
East 1 vs West 1,65,37
East 1 vs West 1,66,1
East 1 vs West 1,67,8
East 1 vs West 1,68,5
East 1 vs West 1,69,7
East 1 vs West 1,70,70
East 1 vs West 1,71,6
East 1 vs West 1,72,10
East 1 vs West 1,73,13
East 1 vs West 1,74,38
East 1 vs West 1,75,6
East 1 vs West 1,76,54
East 1 vs West 1,77,17
East 1 vs West 1,78,17
East 1 vs West 1,79,28
East 1 vs West 1,80,34
East 1 vs West 1,81,34
East 1 vs West 1,82,5
East 1 vs West 1,83,3
East 1 vs West 1,84,29
East 1 vs West 1,85,17
East 1 vs West 1,86,1
East 1 vs West 1,87,0
East 1 vs West 1,88,6
East 1 vs West 1,89,29
East 1 vs West 1,90,31
East 1 vs West 1,91,28
East 1 vs West 1,92,1
East 1 vs West 1,93,32
East 1 vs West 1,94,15
East 1 vs West 1,95,9
East 1 vs West 1,96,31
East 1 vs West 1,97,54
East 1 vs West 1,98,0
East 1 vs West 1,99,20
East 2 vs West 2,1,40
East 2 vs West 2,2,0
East 2 vs West 2,3,0
East 2 vs West 2,4,1
East 2 vs West 2,5,13
East 2 vs West 2,6,41
East 2 vs West 2,7,6
East 2 vs West 2,8,17
East 2 vs West 2,9,8
East 2 vs West 2,10,60
East 2 vs West 2,11,0
East 2 vs West 2,12,10
East 2 vs West 2,13,40
East 2 vs West 2,14,14
East 2 vs West 2,15,18
East 2 vs West 2,16,66
East 2 vs West 2,17,49
East 2 vs West 2,18,16
East 2 vs West 2,19,40
East 2 vs West 2,20,17
East 2 vs West 2,21,45
East 2 vs West 2,22,17
East 2 vs West 2,23,8
East 2 vs West 2,24,37
East 2 vs West 2,25,48
East 2 vs West 2,26,15
East 2 vs West 2,27,42
East 2 vs West 2,28,27
East 2 vs West 2,29,27
East 2 vs West 2,30,33
East 2 vs West 2,31,10
East 2 vs West 2,32,25
East 2 vs West 2,33,2
East 2 vs West 2,34,55
East 2 vs West 2,35,49
East 2 vs West 2,36,22
East 2 vs West 2,37,36
East 2 vs West 2,38,4
East 2 vs West 2,39,6
East 2 vs West 2,40,28
East 2 vs West 2,41,27
East 2 vs West 2,42,41
East 2 vs West 2,43,6
East 2 vs West 2,44,42
East 2 vs West 2,45,38
East 2 vs West 2,46,74
East 2 vs West 2,47,8
East 2 vs West 2,48,21
East 2 vs West 2,49,42
East 2 vs West 2,50,46
East 2 vs West 2,51,16
East 2 vs West 2,52,14
East 2 vs West 2,53,41
East 2 vs West 2,54,29
East 2 vs West 2,55,3
East 2 vs West 2,56,12
East 2 vs West 2,57,46
East 2 vs West 2,58,8
East 2 vs West 2,59,35
East 2 vs West 2,60,25
East 2 vs West 2,61,36
East 2 vs West 2,62,13
East 2 vs West 2,63,42
East 2 vs West 2,64,21
East 2 vs West 2,65,70
East 2 vs West 2,66,5
East 2 vs West 2,67,28
East 2 vs West 2,68,41
East 2 vs West 2,69,23
East 2 vs West 2,70,4
East 2 vs West 2,71,37
East 2 vs West 2,72,66
East 2 vs West 2,73,40
East 2 vs West 2,74,54
East 2 vs West 2,75,10
East 2 vs West 2,76,6
East 2 vs West 2,77,34
East 2 vs West 2,78,1
East 2 vs West 2,79,35
East 2 vs West 2,80,21
East 2 vs West 2,81,9
East 2 vs West 2,82,66
East 2 vs West 2,83,56
East 2 vs West 2,84,5
East 2 vs West 2,85,15
East 2 vs West 2,86,20
East 2 vs West 2,87,18
East 2 vs West 2,88,2
East 2 vs West 2,89,3
East 2 vs West 2,90,58
East 2 vs West 2,91,7
East 2 vs West 2,92,26
East 2 vs West 2,93,75
East 2 vs West 2,94,14
East 2 vs West 2,95,19
East 2 vs West 2,96,33
East 2 vs West 2,97,55
East 2 vs West 2,98,9
East 2 vs West 2,99,1
East 2 vs West 2,100,18
East 2 vs West 2,101,17
East 2 vs West 2,102,9
East 3 vs West 3,1,29
East 3 vs West 3,2,0
East 3 vs West 3,3,0
East 3 vs West 3,4,0
East 3 vs West 3,5,0
East 3 vs West 3,6,0
East 3 vs West 3,7,21
East 3 vs West 3,8,14
East 3 vs West 3,9,18
East 3 vs West 3,10,27
East 3 vs West 3,11,50
East 3 vs West 3,12,21
East 3 vs West 3,13,41
East 3 vs West 3,14,27
East 3 vs West 3,15,0
East 3 vs West 3,16,14
East 3 vs West 3,17,23
East 3 vs West 3,18,58
East 3 vs West 3,19,31
East 3 vs West 3,20,21
East 3 vs West 3,21,27
East 3 vs West 3,22,4
East 3 vs West 3,23,28
East 3 vs West 3,24,42
East 3 vs West 3,25,48
East 3 vs West 3,26,23
East 3 vs West 3,27,61
East 3 vs West 3,28,30
East 3 vs West 3,29,41
East 3 vs West 3,30,68
East 3 vs West 3,31,39
East 3 vs West 3,32,18
East 3 vs West 3,33,27
East 3 vs West 3,34,41
East 3 vs West 3,35,6
East 3 vs West 3,36,10
East 3 vs West 3,37,30
East 3 vs West 3,38,8
East 3 vs West 3,39,28
East 3 vs West 3,40,27
East 3 vs West 3,41,72
East 3 vs West 3,42,41
East 3 vs West 3,43,33
East 3 vs West 3,44,58
East 3 vs West 3,45,66
East 3 vs West 3,46,23
East 3 vs West 3,47,46
East 3 vs West 3,48,21
East 3 vs West 3,49,23
East 3 vs West 3,50,8
East 3 vs West 3,51,10
East 3 vs West 3,52,28
East 3 vs West 3,53,19
East 3 vs West 3,54,47
East 3 vs West 3,55,14
East 3 vs West 3,56,29
East 3 vs West 3,57,3
East 3 vs West 3,58,8
East 3 vs West 3,59,38
East 3 vs West 3,60,7
East 3 vs West 3,61,47
East 3 vs West 3,62,13
East 3 vs West 3,63,6
East 3 vs West 3,64,0
East 3 vs West 3,65,12
East 3 vs West 3,66,34
East 3 vs West 3,67,52
East 3 vs West 3,68,38
East 3 vs West 3,69,11
East 3 vs West 3,70,13
East 3 vs West 3,71,48
East 3 vs West 3,72,55
East 3 vs West 3,73,8
East 3 vs West 3,74,49
East 3 vs West 3,75,28
East 3 vs West 3,76,42
East 3 vs West 3,77,18
East 3 vs West 3,78,64
East 3 vs West 3,79,35
East 3 vs West 3,80,61
East 3 vs West 3,81,35
East 3 vs West 3,82,25
East 3 vs West 3,83,34
East 3 vs West 3,84,3
East 3 vs West 3,85,28
East 3 vs West 3,86,5
East 3 vs West 3,87,56
East 3 vs West 3,88,16
East 3 vs West 3,89,9
East 3 vs West 3,90,51
East 3 vs West 3,91,17
East 3 vs West 3,92,16
East 3 vs West 3,93,24
East 3 vs West 3,94,22
East 3 vs West 3,95,53
East 3 vs West 3,96,12
East 3 vs West 3,97,30
East 3 vs West 3,98,33
East 3 vs West 3,99,79
East 3 vs West 3,100,45
East 3 vs West 3,101,17
East 3 vs West 3,102,4
East 3 vs West 3,103,25
East 3 vs West 3,104,3
East 3 vs West 3,105,31
East 3 vs West 3,106,44
East 3 vs West 3,107,44
East 3 vs West 3,108,34
East 3 vs West 3,109,25
East 3 vs West 3,110,77
East 3 vs West 3,111,3
East 3 vs West 3,112,48
East 3 vs West 3,113,13
East 3 vs West 3,114,16
East 3 vs West 3,115,2
East 3 vs West 3,116,30
East 3 vs West 3,117,32
East 3 vs West 3,118,17
East 3 vs West 3,119,18
East 3 vs West 3,120,23
East 3 vs West 3,121,10
East 3 vs West 3,122,34
East 3 vs West 3,123,4
East 3 vs West 3,124,52
East 4 vs West 4,1,50
East 4 vs West 4,2,0
East 4 vs West 4,3,0
East 4 vs West 4,4,0
East 4 vs West 4,5,0
East 4 vs West 4,6,0
East 4 vs West 4,7,0
East 4 vs West 4,8,0
East 4 vs West 4,9,0
East 4 vs West 4,10,0
East 4 vs West 4,11,0
East 4 vs West 4,12,0
East 4 vs West 4,13,0
East 4 vs West 4,14,0
East 4 vs West 4,15,0
East 4 vs West 4,16,0
East 4 vs West 4,17,0
East 4 vs West 4,18,0
East 4 vs West 4,19,0
East 4 vs West 4,20,0
East 4 vs West 4,21,0
East 4 vs West 4,22,17
East 4 vs West 4,23,23
East 4 vs West 4,24,42
East 4 vs West 4,25,0
East 4 vs West 4,26,54
East 4 vs West 4,27,27
East 4 vs West 4,28,60
East 4 vs West 4,29,78
East 4 vs West 4,30,1
East 4 vs West 4,31,3
East 4 vs West 4,32,44
East 4 vs West 4,33,57
East 4 vs West 4,34,14
East 4 vs West 4,35,1
East 4 vs West 4,36,27
East 4 vs West 4,37,40
East 4 vs West 4,38,58
East 4 vs West 4,39,26
East 4 vs West 4,40,27
East 4 vs West 4,41,16
East 4 vs West 4,42,5
East 4 vs West 4,43,16
East 4 vs West 4,44,64
East 4 vs West 4,45,11
East 4 vs West 4,46,18
East 4 vs West 4,47,8
East 4 vs West 4,48,4
East 4 vs West 4,49,11
East 4 vs West 4,50,33
East 4 vs West 4,51,70
East 4 vs West 4,52,24
East 4 vs West 4,53,21
East 4 vs West 4,54,8
East 4 vs West 4,55,11
East 4 vs West 4,56,39
East 4 vs West 4,57,8
East 4 vs West 4,58,50
East 4 vs West 4,59,12
East 4 vs West 4,60,23
East 4 vs West 4,61,19
East 4 vs West 4,62,10
East 4 vs West 4,63,12
East 4 vs West 4,64,0
East 4 vs West 4,65,37
East 4 vs West 4,66,28
East 4 vs West 4,67,64
East 4 vs West 4,68,5
East 4 vs West 4,69,71
East 4 vs West 4,70,25
East 4 vs West 4,71,22
East 4 vs West 4,72,7
East 4 vs West 4,73,17
East 4 vs West 4,74,23
East 4 vs West 4,75,1
East 4 vs West 4,76,32
East 4 vs West 4,77,23
East 4 vs West 4,78,13
