Message,Position,Value
East 2,8,29
East 2,9,24
East 2,10,61
East 2,11,42
East 2,12,70
East 2,13,66
East 2,14,62
East 2,15,32
East 2,16,14
East 2,17,81
East 2,18,8
East 2,19,15
East 2,20,78
East 2,21,2
East 2,22,29
East 2,23,13
East 2,24,49
East 2,25,1
East 2,26,69
East 2,27,76
East 2,28,52
East 2,29,9
East 2,30,48
East 2,31,66
East 2,32,80
East 2,33,22
East 2,34,64
East 2,35,57
East 2,36,40
East 2,37,49
East 2,38,78
East 2,39,3
East 2,40,16
East 2,41,56
East 2,42,19
East 2,43,47
East 2,44,40
East 2,45,80
East 2,46,6
East 2,47,13
East 2,48,64
East 2,49,29
East 2,50,49
East 2,51,64
East 2,52,63
East 2,53,6
East 2,54,49
East 2,55,31
East 2,56,13
East 2,57,16
East 2,58,10
East 2,59,45
East 2,60,24
East 2,61,26
East 2,62,77
East 2,63,10
East 2,64,60
East 2,65,81
East 2,66,61
East 2,67,34
East 2,68,54
East 2,69,70
East 2,70,21
East 2,71,15
East 2,72,4
East 2,73,66
East 2,74,77
East 2,75,42
East 2,76,37
East 2,77,30
East 2,78,22
East 2,79,0
East 2,80,11
East 2,81,41
East 2,82,72
East 2,83,57
East 2,84,20
East 2,85,23
East 2,86,57
East 2,87,65
East 2,88,41
East 2,89,23
East 2,90,18
East 2,91,72
East 2,92,42
East 2,93,5
East 2,94,3
East 2,95,26
East 2,96,78
East 2,97,8
East 2,98,5
East 2,99,54
East 2,100,45
East 2,101,77
East 2,102,25
East 2,103,64
East 2,104,61
East 2,105,16
East 2,106,44
East 2,107,54
East 2,108,51
East 2,109,20
East 2,110,63
East 2,111,25
East 2,112,11
East 2,113,26
East 2,114,45
East 2,115,53
East 2,116,60
East 2,117,38
East 2,118,34
West 2,1,76
West 2,2,66
West 2,3,5
West 2,4,49
West 2,5,75
West 2,6,54
West 2,7,69
West 2,8,46
West 2,9,32
West 2,10,1
West 2,11,42
West 2,12,60
West 2,13,26
West 2,14,48
West 2,15,50
West 2,16,80
West 2,17,32
West 2,18,24
West 2,19,55
West 2,20,61
West 2,21,47
West 2,22,12
West 2,23,21
West 2,24,12
West 2,25,49
West 2,26,54
West 2,27,34
West 2,28,25
West 2,29,36
West 2,30,15
West 2,31,56
West 2,32,55
West 2,33,20
West 2,34,9
West 2,35,8
West 2,36,62
West 2,37,13
West 2,38,82
West 2,39,9
West 2,40,44
West 2,41,29
West 2,42,60
West 2,43,53
West 2,44,82
West 2,45,42
West 2,46,80
West 2,47,5
West 2,48,43
West 2,49,71
West 2,50,3
West 2,51,80
West 2,52,77
West 2,53,47
West 2,54,78
West 2,55,34
West 2,56,25
West 2,57,62
West 2,58,18
West 2,59,10
West 2,60,49
West 2,61,62
West 2,62,64
West 2,63,52
West 2,64,81
West 2,65,11
West 2,66,66
West 2,67,62
West 2,68,13
West 2,69,47
West 2,70,17
West 2,71,52
West 2,72,70
West 2,73,26
West 2,74,23
West 2,75,32
West 2,76,31
West 2,77,64
West 2,78,23
West 2,79,35
West 2,80,32
West 2,81,50
West 2,82,6
West 2,83,1
West 2,84,25
West 2,85,8
West 2,86,37
West 2,87,47
West 2,88,43
West 2,89,26
West 2,90,76
West 2,91,65
West 2,92,68
West 2,93,80
West 2,94,17
West 2,95,7
West 2,96,45
West 2,97,63
West 2,98,14
West 2,99,53
West 2,100,63
West 2,101,60
West 2,102,16
East 3,1,63
East 3,2,66
East 3,3,5
East 3,4,49
East 3,5,75
East 3,6,54
East 3,7,2
East 3,8,60
East 3,9,29
East 3,10,40
East 3,11,78
East 3,12,47
East 3,13,60
East 3,14,75
East 3,15,67
East 3,16,71
East 3,17,60
East 3,18,2
East 3,19,65
East 3,20,7
East 3,21,47
East 3,22,14
East 3,23,45
East 3,24,74
East 3,25,59
East 3,26,41
East 3,27,80
East 3,28,13
East 3,29,60
East 3,30,13
East 3,31,81
East 3,32,22
East 3,33,35
East 3,34,50
East 3,35,40
East 3,36,39
East 3,37,2
East 3,38,59
East 3,39,48
East 3,40,31
East 3,41,76
East 3,42,2
East 3,43,80
East 3,44,75
East 3,45,1
East 3,46,56
East 3,47,67
East 3,48,11
East 3,49,21
East 3,50,8
East 3,51,40
East 3,52,65
East 3,53,45
East 3,54,75
East 3,55,55
East 3,56,39
East 3,57,60
East 3,58,42
East 3,59,13
East 3,60,3
East 3,61,22
East 3,62,57
East 3,63,2
East 3,64,6
East 3,65,58
East 3,66,9
East 3,67,70
East 3,68,1
East 3,69,58
East 3,70,56
East 3,71,63
East 3,72,68
East 3,73,25
East 3,74,79
East 3,75,7
East 3,76,20
East 3,77,19
East 3,78,64
East 3,79,2
East 3,80,66
East 3,81,73
East 3,82,30
East 3,83,71
East 3,84,16
East 3,85,12
East 3,86,30
East 3,87,65
East 3,88,37
East 3,89,20
East 3,90,13
East 3,91,22
East 3,92,63
East 3,93,18
East 3,94,46
East 3,95,64
East 3,96,59
East 3,97,41
East 3,98,81
East 3,99,82
East 3,100,22
East 3,101,78
East 3,102,36
East 3,103,47
East 3,104,17
East 3,105,4
East 3,106,6
East 3,107,17
East 3,108,5
East 3,109,36
East 3,110,79
East 3,111,63
East 3,112,1
East 3,113,64
East 3,114,69
East 3,115,15
East 3,116,43
East 3,117,4
East 3,118,58
East 3,119,56
East 3,120,31
East 3,121,14
East 3,122,64
East 3,123,58
East 3,124,18
East 3,125,44
East 3,126,78
East 3,127,69
East 3,128,1
East 3,129,0
East 3,130,46
East 3,131,20
East 3,132,71
East 3,133,73
East 3,134,25
East 3,135,35
East 3,136,8
East 3,137,24
West 3,1,34
West 3,2,66
West 3,3,5
West 3,4,49
West 3,5,75
West 3,6,54
West 3,7,23
West 3,8,74
West 3,9,11
West 3,10,13
West 3,11,28
West 3,12,26
West 3,13,19
West 3,14,48
West 3,15,67
West 3,16,57
West 3,17,37
West 3,18,60
West 3,19,34
West 3,20,28
West 3,21,74
West 3,22,10
West 3,23,17
West 3,24,32
West 3,25,11
West 3,26,18
West 3,27,19
West 3,28,43
West 3,29,19
West 3,30,81
West 3,31,42
West 3,32,4
West 3,33,62
West 3,34,9
West 3,35,46
West 3,36,49
West 3,37,32
West 3,38,51
West 3,39,76
West 3,40,58
West 3,41,4
West 3,42,43
West 3,43,47
West 3,44,17
West 3,45,67
West 3,46,79
West 3,47,21
West 3,48,32
West 3,49,44
West 3,50,16
West 3,51,30
West 3,52,37
West 3,53,26
West 3,54,28
West 3,55,41
West 3,56,68
West 3,57,57
West 3,58,34
West 3,59,51
West 3,60,10
West 3,61,69
West 3,62,70
West 3,63,8
West 3,64,6
West 3,65,46
West 3,66,43
West 3,67,18
West 3,68,39
West 3,69,47
West 3,70,43
West 3,71,15
West 3,72,13
West 3,73,33
West 3,74,30
West 3,75,35
West 3,76,62
West 3,77,37
West 3,78,0
West 3,79,37
West 3,80,5
West 3,81,38
West 3,82,55
West 3,83,37
West 3,84,13
West 3,85,40
West 3,86,25
West 3,87,9
West 3,88,21
West 3,89,11
West 3,90,64
West 3,91,5
West 3,92,79
West 3,93,42
West 3,94,68
West 3,95,11
West 3,96,71
West 3,97,11
West 3,98,48
West 3,99,3
West 3,100,67
West 3,101,61
West 3,102,40
West 3,103,22
West 3,104,14
West 3,105,35
West 3,106,50
West 3,107,61
West 3,108,39
West 3,109,11
West 3,110,2
West 3,111,66
West 3,112,49
West 3,113,51
West 3,114,53
West 3,115,17
West 3,116,73
West 3,117,36
West 3,118,75
West 3,119,74
West 3,120,54
West 3,121,24
West 3,122,30
West 3,123,54
West 3,124,70
East 4,1,27
East 4,2,66
East 4,3,5
East 4,4,49
East 4,5,75
East 4,6,54
East 4,7,2
East 4,8,60
East 4,9,29
East 4,10,40
East 4,11,2
East 4,12,55
East 4,13,9
East 4,14,15
East 4,15,59
East 4,16,18
East 4,17,68
East 4,18,3
East 4,19,36
East 4,20,5
East 4,21,47
East 4,22,77
East 4,23,44
East 4,24,38
East 4,25,1
East 4,26,18
East 4,27,28
East 4,28,76
East 4,29,4
East 4,30,34
East 4,31,60
East 4,32,63
East 4,33,58
East 4,34,80
East 4,35,17
East 4,36,54
East 4,37,79
East 4,38,75
East 4,39,48
East 4,40,54
East 4,41,55
East 4,42,19
East 4,43,62
East 4,44,64
East 4,45,14
East 4,46,47
East 4,47,51
East 4,48,70
East 4,49,75
East 4,50,5
East 4,51,11
East 4,52,47
East 4,53,45
East 4,54,58
East 4,55,68
East 4,56,69
East 4,57,79
East 4,58,25
East 4,59,38
East 4,60,45
East 4,61,73
East 4,62,47
East 4,63,68
East 4,64,50
East 4,65,34
East 4,66,45
East 4,67,78
East 4,68,26
East 4,69,79
East 4,70,57
East 4,71,4
East 4,72,56
East 4,73,22
East 4,74,60
East 4,75,18
East 4,76,75
East 4,77,43
East 4,78,60
East 4,79,59
East 4,80,67
East 4,81,63
East 4,82,42
East 4,83,49
East 4,84,33
East 4,85,40
East 4,86,65
East 4,87,79
East 4,88,77
East 4,89,7
East 4,90,3
East 4,91,26
East 4,92,62
East 4,93,31
East 4,94,78
East 4,95,26
East 4,96,57
East 4,97,69
East 4,98,40
East 4,99,4
East 4,100,23
East 4,101,26
East 4,102,13
East 4,103,67
East 4,104,42
East 4,105,38
East 4,106,72
East 4,107,11
East 4,108,39
East 4,109,65
East 4,110,60
East 4,111,25
East 4,112,6
East 4,113,80
East 4,114,66
East 4,115,68
East 4,116,77
East 4,117,59
East 4,118,78
East 4,119,19
West 4,1,77
West 4,2,66
West 4,3,5
West 4,4,49
West 4,5,75
West 4,6,54
West 4,7,2
West 4,8,60
West 4,9,29
West 4,10,40
West 4,11,2
West 4,12,55
West 4,13,9
West 4,14,15
West 4,15,59
West 4,16,18
West 4,17,68
West 4,18,3
West 4,19,36
West 4,20,5
West 4,21,47
West 4,22,60
West 4,23,21
West 4,24,80
West 4,25,1
West 4,26,72
West 4,27,55
West 4,28,16
West 4,29,82
West 4,30,35
West 4,31,57
West 4,32,19
West 4,33,1
West 4,34,66
West 4,35,18
West 4,36,27
West 4,37,39
West 4,38,17
West 4,39,74
West 4,40,81
West 4,41,39
West 4,42,14
West 4,43,78
West 4,44,0
West 4,45,25
West 4,46,65
West 4,47,43
West 4,48,66
West 4,49,64
West 4,50,38
West 4,51,81
West 4,52,23
West 4,53,24
West 4,54,50
West 4,55,57
West 4,56,30
West 4,57,71
West 4,58,75
West 4,59,26
West 4,60,68
West 4,61,54
West 4,62,57
West 4,63,56
West 4,64,50
West 4,65,71
West 4,66,73
West 4,67,14
West 4,68,21
West 4,69,8
West 4,70,32
West 4,71,26
West 4,72,63
West 4,73,5
West 4,74,37
West 4,75,19
West 4,76,43
West 4,77,66
West 4,78,47
West 4,79,53
West 4,80,34
West 4,81,66
West 4,82,23
West 4,83,73
West 4,84,31
West 4,85,54
West 4,86,38
West 4,87,77
West 4,88,67
West 4,89,11
West 4,90,63
West 4,91,79
West 4,92,6
West 4,93,22
West 4,94,21
West 4,95,51
West 4,96,69
West 4,97,74
West 4,98,21
West 4,99,5
West 4,100,17
West 4,101,67
West 4,102,37
West 4,103,29
West 4,104,21
West 4,105,60
West 4,106,14
West 4,107,82
West 4,108,44
West 4,109,30
West 4,110,4
West 4,111,20
West 4,112,42
West 4,113,35
West 4,114,1
West 4,115,31
West 4,116,54
West 4,117,46
West 4,118,20
West 4,119,40
West 4,120,30
East 5,1,33
East 5,2,66
East 5,3,5
East 5,4,49
East 5,5,75
East 5,6,54
East 5,7,2
East 5,8,60
East 5,9,29
East 5,10,40
East 5,11,2
East 5,12,55
East 5,13,9
East 5,14,15
East 5,15,59
East 5,16,18
East 5,17,68
East 5,18,3
East 5,19,36
East 5,20,5
East 5,21,47
East 5,22,33
East 5,23,21
East 5,24,59
East 5,25,44
East 5,26,18
East 5,27,28
East 5,28,76
East 5,29,59
East 5,30,34
East 5,31,60
East 5,32,63
East 5,33,79
East 5,34,27
East 5,35,12
East 5,36,54
East 5,37,5
East 5,38,49
East 5,39,48
East 5,40,54
East 5,41,55
East 5,42,52
East 5,43,62
East 5,44,72
East 5,45,69
East 5,46,10
East 5,47,57
East 5,48,22
East 5,49,58
East 5,50,48
East 5,51,67
East 5,52,53
East 5,53,7
East 5,54,34
East 5,55,32
East 5,56,30
East 5,57,31
East 5,58,19
East 5,59,26
East 5,60,8
East 5,61,34
East 5,62,46
East 5,63,7
East 5,64,30
East 5,65,71
East 5,66,55
East 5,67,34
East 5,68,75
East 5,69,54
East 5,70,9
East 5,71,6
East 5,72,60
East 5,73,5
East 5,74,23
East 5,75,25
East 5,76,45
East 5,77,42
East 5,78,80
East 5,79,25
East 5,80,12
East 5,81,22
East 5,82,76
East 5,83,20
East 5,84,51
East 5,85,62
East 5,86,21
East 5,87,40
East 5,88,9
East 5,89,41
East 5,90,10
East 5,91,44
East 5,92,73
East 5,93,8
East 5,94,33
East 5,95,70
East 5,96,73
East 5,97,6
East 5,98,31
East 5,99,21
East 5,100,72
East 5,101,5
East 5,102,40
East 5,103,61
East 5,104,51
East 5,105,42
East 5,106,66
East 5,107,64
East 5,108,74
East 5,109,61
East 5,110,25
East 5,111,63
East 5,112,42
East 5,113,24
East 5,114,41
